Sequence+H1A1:H1,Source,Feature,Start,End,Score,Strand,Frame,Attributes,,,,,,,,
Contig_2_126.947,.,pseudogene,8109,9148,.,-,.,ID=gene-pgaptmp_000217;Name=pgaptmp_000217;gbkey=Gene;gene_biotype=pseudogene;locus_tag=pgaptmp_000217;pseudo=true,,,,,,,,
Contig_2_126.947,Protein Homology,CDS,8109,9148,.,-,0,ID=cds-pgaptmp_000217;Parent=gene-pgaptmp_000217;Note=frameshifted;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874760.1;locus_tag=pgaptmp_000217;product=DUF5443 family protein;pseudo=true;transl_table=4,,,,,,,,
Contig_2_126.947,.,gene,9129,9497,.,-,.,ID=gene-pgaptmp_000218;Name=pgaptmp_000218;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000218,,,,,,,,
Contig_2_126.947,Protein Homology,CDS,9129,9497,.,-,0,ID=cds-pgaptmp_000218;Parent=gene-pgaptmp_000218;Name=extdb:pgaptmp_000218;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_017532918.1;locus_tag=pgaptmp_000218;product=hypothetical protein;protein_id=extdb:pgaptmp_000218;transl_table=4,,,,,,,,
Contig_2_126.947,.,gene,9642,11093,.,-,.,ID=gene-pgaptmp_000219;Name=proS;gbkey=Gene;gene=proS;gene_biotype=protein_coding;locus_tag=pgaptmp_000219,,,,,,,,
Contig_2_126.947,Protein Homology,CDS,9642,11093,.,-,0,ID=cds-pgaptmp_000219;Parent=gene-pgaptmp_000219;Name=extdb:pgaptmp_000219;Ontology_term=GO:0006433,GO:0004827;gbkey=CDS;gene=proS;go_function=proline-tRNA ligase activity|0004827||IEA;go_process=prolyl-tRNA aminoacylation|0006433||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874758.1;locus_tag=pgaptmp_000219;product=proline--tRNA ligase;protein_id=extdb:pgaptmp_000219;transl_table=4,,,,,,,
Contig_2_126.947,.,gene,11104,11244,.,-,.,ID=gene-pgaptmp_000220;Name=pgaptmp_000220;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000220,,,,,,,,
Contig_2_126.947,Protein Homology,CDS,11104,11244,.,-,0,ID=cds-pgaptmp_000220;Parent=gene-pgaptmp_000220;Name=extdb:pgaptmp_000220;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014574968.1;locus_tag=pgaptmp_000220;product=hypothetical protein;protein_id=extdb:pgaptmp_000220;transl_table=4,,,,,,,,
Contig_2_126.947,.,gene,11375,11857,.,+,.,ID=gene-pgaptmp_000221;Name=greA;gbkey=Gene;gene=greA;gene_biotype=protein_coding;locus_tag=pgaptmp_000221,,,,,,,,
Contig_2_126.947,Protein Homology,CDS,11375,11857,.,+,0,ID=cds-pgaptmp_000221;Parent=gene-pgaptmp_000221;Name=extdb:pgaptmp_000221;Ontology_term=GO:0032784,GO:0003677,GO:0070063;gbkey=CDS;gene=greA;go_function=DNA binding|0003677||IEA,RNA polymerase binding|0070063||IEA;go_process=regulation of DNA-templated transcription%2C elongation|0032784||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014325511.1;locus_tag=pgaptmp_000221;product=transcription elongation factor GreA;protein_id=extdb:pgaptmp_000221;transl_table=4,,,,,
Contig_2_126.947,.,gene,11887,11973,.,+,.,ID=gene-pgaptmp_000222;Name=pgaptmp_000222;gbkey=Gene;gene_biotype=tRNA;locus_tag=pgaptmp_000222,,,,,,,,
Contig_2_126.947,tRNAscan-SE,tRNA,11887,11973,.,+,.,ID=rna-pgaptmp_000222;Parent=gene-pgaptmp_000222;anticodon=(pos:11921..11923);gbkey=tRNA;inference=COORDINATES: profile:tRNAscan-SE:2.0.7;locus_tag=pgaptmp_000222;product=tRNA-Tyr,,,,,,,,
Contig_2_126.947,tRNAscan-SE,exon,11887,11973,.,+,.,ID=exon-pgaptmp_000222-1;Parent=rna-pgaptmp_000222;anticodon=(pos:11921..11923);gbkey=tRNA;inference=COORDINATES: profile:tRNAscan-SE:2.0.7;locus_tag=pgaptmp_000222;product=tRNA-Tyr,,,,,,,,
Contig_2_126.947,.,gene,11979,12053,.,+,.,ID=gene-pgaptmp_000223;Name=pgaptmp_000223;gbkey=Gene;gene_biotype=tRNA;locus_tag=pgaptmp_000223,,,,,,,,
Contig_2_126.947,tRNAscan-SE,tRNA,11979,12053,.,+,.,ID=rna-pgaptmp_000223;Parent=gene-pgaptmp_000223;anticodon=(pos:12011..12013);gbkey=tRNA;inference=COORDINATES: profile:tRNAscan-SE:2.0.7;locus_tag=pgaptmp_000223;product=tRNA-Gln,,,,,,,,
Contig_2_126.947,tRNAscan-SE,exon,11979,12053,.,+,.,ID=exon-pgaptmp_000223-1;Parent=rna-pgaptmp_000223;anticodon=(pos:12011..12013);gbkey=tRNA;inference=COORDINATES: profile:tRNAscan-SE:2.0.7;locus_tag=pgaptmp_000223;product=tRNA-Gln,,,,,,,,
Contig_2_126.947,.,gene,12097,12171,.,+,.,ID=gene-pgaptmp_000224;Name=pgaptmp_000224;gbkey=Gene;gene_biotype=tRNA;locus_tag=pgaptmp_000224,,,,,,,,
Contig_2_126.947,tRNAscan-SE,tRNA,12097,12171,.,+,.,ID=rna-pgaptmp_000224;Parent=gene-pgaptmp_000224;anticodon=(pos:12129..12131);gbkey=tRNA;inference=COORDINATES: profile:tRNAscan-SE:2.0.7;locus_tag=pgaptmp_000224;product=tRNA-Lys,,,,,,,,
Contig_2_126.947,tRNAscan-SE,exon,12097,12171,.,+,.,ID=exon-pgaptmp_000224-1;Parent=rna-pgaptmp_000224;anticodon=(pos:12129..12131);gbkey=tRNA;inference=COORDINATES: profile:tRNAscan-SE:2.0.7;locus_tag=pgaptmp_000224;product=tRNA-Lys,,,,,,,,
Contig_2_126.947,.,gene,12172,12257,.,+,.,ID=gene-pgaptmp_000225;Name=pgaptmp_000225;gbkey=Gene;gene_biotype=tRNA;locus_tag=pgaptmp_000225,,,,,,,,
Contig_2_126.947,tRNAscan-SE,tRNA,12172,12257,.,+,.,ID=rna-pgaptmp_000225;Parent=gene-pgaptmp_000225;anticodon=(pos:12205..12207);gbkey=tRNA;inference=COORDINATES: profile:tRNAscan-SE:2.0.7;locus_tag=pgaptmp_000225;product=tRNA-Leu,,,,,,,,
Contig_2_126.947,tRNAscan-SE,exon,12172,12257,.,+,.,ID=exon-pgaptmp_000225-1;Parent=rna-pgaptmp_000225;anticodon=(pos:12205..12207);gbkey=tRNA;inference=COORDINATES: profile:tRNAscan-SE:2.0.7;locus_tag=pgaptmp_000225;product=tRNA-Leu,,,,,,,,
Contig_2_126.947,.,gene,12264,12337,.,+,.,ID=gene-pgaptmp_000226;Name=pgaptmp_000226;gbkey=Gene;gene_biotype=tRNA;locus_tag=pgaptmp_000226,,,,,,,,
Contig_2_126.947,tRNAscan-SE,tRNA,12264,12337,.,+,.,ID=rna-pgaptmp_000226;Parent=gene-pgaptmp_000226;anticodon=(pos:12296..12298);gbkey=tRNA;inference=COORDINATES: profile:tRNAscan-SE:2.0.7;locus_tag=pgaptmp_000226;product=tRNA-Gly,,,,,,,,
Contig_2_126.947,tRNAscan-SE,exon,12264,12337,.,+,.,ID=exon-pgaptmp_000226-1;Parent=rna-pgaptmp_000226;anticodon=(pos:12296..12298);gbkey=tRNA;inference=COORDINATES: profile:tRNAscan-SE:2.0.7;locus_tag=pgaptmp_000226;product=tRNA-Gly,,,,,,,,
Contig_2_126.947,.,gene,12625,14373,.,+,.,ID=gene-pgaptmp_000227;Name=pgaptmp_000227;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000227,,,,,,,,
Contig_2_126.947,Protein Homology,CDS,12625,14373,.,+,0,ID=cds-pgaptmp_000227;Parent=gene-pgaptmp_000227;Name=extdb:pgaptmp_000227;Ontology_term=GO:0005515;gbkey=CDS;go_function=protein binding|0005515||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874756.1;locus_tag=pgaptmp_000227;product=IgG-blocking protein M;protein_id=extdb:pgaptmp_000227;transl_table=4,,,,,,,,
Contig_2_126.947,.,gene,14435,15298,.,+,.,ID=gene-pgaptmp_000228;Name=pgaptmp_000228;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000228,,,,,,,,
Contig_2_126.947,Protein Homology,CDS,14435,15298,.,+,0,ID=cds-pgaptmp_000228;Parent=gene-pgaptmp_000228;Name=extdb:pgaptmp_000228;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874755.1;locus_tag=pgaptmp_000228;product=MG_279/MG_280 family protein;protein_id=extdb:pgaptmp_000228;transl_table=4,,,,,,,,
Contig_2_126.947,.,gene,15298,15954,.,+,.,ID=gene-pgaptmp_000229;Name=pgaptmp_000229;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000229,,,,,,,,
Contig_2_126.947,Protein Homology,CDS,15298,15954,.,+,0,ID=cds-pgaptmp_000229;Parent=gene-pgaptmp_000229;Name=extdb:pgaptmp_000229;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010869404.1;locus_tag=pgaptmp_000229;product=MG_279/MG_280 family protein;protein_id=extdb:pgaptmp_000229;transl_table=4,,,,,,,,
Contig_2_126.947,.,gene,15951,18152,.,-,.,ID=gene-pgaptmp_000230;Name=pgaptmp_000230;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000230,,,,,,,,
Contig_2_126.947,Protein Homology,CDS,15951,18152,.,-,0,ID=cds-pgaptmp_000230;Parent=gene-pgaptmp_000230;Name=extdb:pgaptmp_000230;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874753.1;locus_tag=pgaptmp_000230;product=RelA/SpoT family protein;protein_id=extdb:pgaptmp_000230;transl_table=4,,,,,,,,
Contig_2_126.947,.,gene,18156,18593,.,+,.,ID=gene-pgaptmp_000231;Name=pgaptmp_000231;end_range=18593,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000231;partial=true,,,,,,,
Contig_2_126.947,Protein Homology,CDS,18156,18593,.,+,0,ID=cds-pgaptmp_000231;Parent=gene-pgaptmp_000231;Name=extdb:pgaptmp_000231;end_range=18593,.;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014325507.1;locus_tag=pgaptmp_000231;partial=true;product=hypothetical protein;protein_id=extdb:pgaptmp_000231;transl_table=4,,,,,,,
Contig_3_134.644,Local,region,1,16274,.,+,.,ID=Contig_3_134.644:1..16274;Dbxref=taxon:2104;Name=ANONYMOUS;gbkey=Src;genome=chromosome;mol_type=genomic DNA;strain=Mympn_M547,,,,,,,,
Contig_3_134.644,.,gene,10,999,.,-,.,ID=gene-pgaptmp_000371;Name=pgaptmp_000371;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000371,,,,,,,,
Contig_3_134.644,Protein Homology,CDS,10,999,.,-,0,ID=cds-pgaptmp_000371;Parent=gene-pgaptmp_000371;Name=extdb:pgaptmp_000371;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874447.1;locus_tag=pgaptmp_000371;product=hypothetical protein;protein_id=extdb:pgaptmp_000371;transl_table=4,,,,,,,,
Contig_3_134.644,.,gene,1154,2281,.,-,.,ID=gene-pgaptmp_000372;Name=pgaptmp_000372;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000372,,,,,,,,
Contig_3_134.644,Protein Homology,CDS,1154,2281,.,-,0,ID=cds-pgaptmp_000372;Parent=gene-pgaptmp_000372;Name=extdb:pgaptmp_000372;Ontology_term=GO:0006304;gbkey=CDS;go_process=DNA modification|0006304||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014574871.1;locus_tag=pgaptmp_000372;product=restriction endonuclease subunit S;protein_id=extdb:pgaptmp_000372;transl_table=4,,,,,,,,
Contig_3_134.644,.,gene,2398,2562,.,-,.,ID=gene-pgaptmp_000373;Name=pgaptmp_000373;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000373,,,,,,,,
Contig_3_134.644,Protein Homology,CDS,2398,2562,.,-,0,ID=cds-pgaptmp_000373;Parent=gene-pgaptmp_000373;Name=extdb:pgaptmp_000373;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014574870.1;locus_tag=pgaptmp_000373;product=hypothetical protein;protein_id=extdb:pgaptmp_000373;transl_table=4,,,,,,,,
Contig_3_134.644,.,gene,2641,2946,.,-,.,ID=gene-pgaptmp_000374;Name=pgaptmp_000374;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000374,,,,,,,,
Contig_3_134.644,Protein Homology,CDS,2641,2946,.,-,0,ID=cds-pgaptmp_000374;Parent=gene-pgaptmp_000374;Name=extdb:pgaptmp_000374;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874445.1;locus_tag=pgaptmp_000374;product=hypothetical protein;protein_id=extdb:pgaptmp_000374;transl_table=4,,,,,,,,
Contig_3_134.644,.,gene,2918,3373,.,-,.,ID=gene-pgaptmp_000375;Name=pgaptmp_000375;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000375,,,,,,,,
Contig_3_134.644,Protein Homology,CDS,2918,3373,.,-,0,ID=cds-pgaptmp_000375;Parent=gene-pgaptmp_000375;Name=extdb:pgaptmp_000375;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_017532935.1;locus_tag=pgaptmp_000375;product=hypothetical protein;protein_id=extdb:pgaptmp_000375;transl_table=4,,,,,,,,
Contig_3_134.644,.,gene,3626,3913,.,-,.,ID=gene-pgaptmp_000376;Name=pgaptmp_000376;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000376,,,,,,,,
Contig_3_134.644,Protein Homology,CDS,3626,3913,.,-,0,ID=cds-pgaptmp_000376;Parent=gene-pgaptmp_000376;Name=extdb:pgaptmp_000376;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_017532936.1;locus_tag=pgaptmp_000376;product=hypothetical protein;protein_id=extdb:pgaptmp_000376;transl_table=4,,,,,,,,
Contig_3_134.644,.,gene,3961,4512,.,-,.,ID=gene-pgaptmp_000377;Name=pgaptmp_000377;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000377,,,,,,,,
Contig_3_134.644,Protein Homology,CDS,3961,4512,.,-,0,ID=cds-pgaptmp_000377;Parent=gene-pgaptmp_000377;Name=extdb:pgaptmp_000377;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_017532937.1;locus_tag=pgaptmp_000377;product=hypothetical protein;protein_id=extdb:pgaptmp_000377;transl_table=4,,,,,,,,
Contig_3_134.644,.,gene,4585,4902,.,-,.,ID=gene-pgaptmp_000378;Name=pgaptmp_000378;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000378,,,,,,,,
Contig_3_134.644,Protein Homology,CDS,4585,4902,.,-,0,ID=cds-pgaptmp_000378;Parent=gene-pgaptmp_000378;Name=extdb:pgaptmp_000378;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874443.1;locus_tag=pgaptmp_000378;product=hypothetical protein;protein_id=extdb:pgaptmp_000378;transl_table=4,,,,,,,,
Contig_3_134.644,.,gene,5048,6487,.,-,.,ID=gene-pgaptmp_000379;Name=pgaptmp_000379;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000379,,,,,,,,
Contig_3_134.644,Protein Homology,CDS,5048,6487,.,-,0,ID=cds-pgaptmp_000379;Parent=gene-pgaptmp_000379;Name=extdb:pgaptmp_000379;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014574867.1;locus_tag=pgaptmp_000379;product=hypothetical protein;protein_id=extdb:pgaptmp_000379;transl_table=4,,,,,,,,
Contig_3_134.644,.,gene,6594,8168,.,-,.,ID=gene-pgaptmp_000380;Name=pgaptmp_000380;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000380,,,,,,,,
Contig_3_134.644,Protein Homology,CDS,6594,8168,.,-,0,ID=cds-pgaptmp_000380;Parent=gene-pgaptmp_000380;Name=extdb:pgaptmp_000380;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014574866.1;locus_tag=pgaptmp_000380;product=DUF31 family protein;protein_id=extdb:pgaptmp_000380;transl_table=4,,,,,,,,
Contig_3_134.644,.,gene,8218,9819,.,-,.,ID=gene-pgaptmp_000381;Name=pgaptmp_000381;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000381,,,,,,,,
Contig_3_134.644,Protein Homology,CDS,8218,9819,.,-,0,ID=cds-pgaptmp_000381;Parent=gene-pgaptmp_000381;Name=extdb:pgaptmp_000381;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015344870.1;locus_tag=pgaptmp_000381;product=DUF31 family protein;protein_id=extdb:pgaptmp_000381;transl_table=4,,,,,,,,
Contig_3_134.644,.,gene,9829,11775,.,-,.,ID=gene-pgaptmp_000382;Name=pgaptmp_000382;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000382,,,,,,,,
Contig_3_134.644,Protein Homology,CDS,9829,11775,.,-,0,ID=cds-pgaptmp_000382;Parent=gene-pgaptmp_000382;Name=extdb:pgaptmp_000382;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010869316.1;locus_tag=pgaptmp_000382;product=transketolase;protein_id=extdb:pgaptmp_000382;transl_table=4,,,,,,,,
Contig_3_134.644,.,gene,11796,13193,.,-,.,ID=gene-pgaptmp_000383;Name=pgaptmp_000383;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000383,,,,,,,,
Contig_3_134.644,Protein Homology,CDS,11796,13193,.,-,0,ID=cds-pgaptmp_000383;Parent=gene-pgaptmp_000383;Name=extdb:pgaptmp_000383;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874438.1;locus_tag=pgaptmp_000383;product=ABC transporter ATP-binding protein;protein_id=extdb:pgaptmp_000383;transl_table=4,,,,,,,,
Contig_3_134.644,.,gene,13193,16274,.,-,.,ID=gene-pgaptmp_000384;Name=pgaptmp_000384;end_range=16274,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000384;partial=true,,,,,,,
Contig_3_134.644,Protein Homology,CDS,13193,16274,.,-,1,ID=cds-pgaptmp_000384;Parent=gene-pgaptmp_000384;Name=extdb:pgaptmp_000384;end_range=16274,.;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874437.1;locus_tag=pgaptmp_000384;partial=true;product=ABC transporter permease;protein_id=extdb:pgaptmp_000384;transl_table=4,,,,,,,
Contig_4_127.894,Local,region,1,12595,.,+,.,ID=Contig_4_127.894:1..12595;Dbxref=taxon:2104;Name=ANONYMOUS;gbkey=Src;genome=chromosome;mol_type=genomic DNA;strain=Mympn_M547,,,,,,,,
Contig_4_127.894,.,gene,1,871,.,-,.,ID=gene-pgaptmp_000540;Name=topJ;gbkey=Gene;gene=topJ;gene_biotype=protein_coding;locus_tag=pgaptmp_000540;partial=true;start_range=.,1,,,,,,,
Contig_4_127.894,Protein Homology,CDS,1,871,.,-,0,ID=cds-pgaptmp_000540;Parent=gene-pgaptmp_000540;Name=extdb:pgaptmp_000540;gbkey=CDS;gene=topJ;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874476.1;locus_tag=pgaptmp_000540;partial=true;product=terminal organelle assembly protein TopJ;protein_id=extdb:pgaptmp_000540;start_range=.,1;transl_table=4,,,,,,,
Contig_4_127.894,.,gene,927,1637,.,+,.,ID=gene-pgaptmp_000541;Name=pgaptmp_000541;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000541,,,,,,,,
Contig_4_127.894,Protein Homology,CDS,927,1637,.,+,0,ID=cds-pgaptmp_000541;Parent=gene-pgaptmp_000541;Name=extdb:pgaptmp_000541;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874475.1;locus_tag=pgaptmp_000541;product=ribonuclease HIII;protein_id=extdb:pgaptmp_000541;transl_table=4,,,,,,,,
Contig_4_127.894,.,gene,1612,1995,.,-,.,ID=gene-pgaptmp_000542;Name=rplT;gbkey=Gene;gene=rplT;gene_biotype=protein_coding;locus_tag=pgaptmp_000542,,,,,,,,
Contig_4_127.894,Protein Homology,CDS,1612,1995,.,-,0,ID=cds-pgaptmp_000542;Parent=gene-pgaptmp_000542;Name=extdb:pgaptmp_000542;Ontology_term=GO:0006412,GO:0003735,GO:0000315,GO:0022625;gbkey=CDS;gene=rplT;go_component=organellar large ribosomal subunit|0000315||IEA,cytosolic large ribosomal subunit|0022625||IEA;go_function=structural constituent of ribosome|0003735||IEA;go_process=translation|0006412||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874474.1;locus_tag=pgaptmp_000542;product=50S ribosomal protein L20;protein_id=extdb:pgaptmp_000542;transl_table=4,,,,
