Sequence+H1A1:H1,Source,Feature,Start,End,Score,Strand,Frame,Attributes,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,9687,11033,.,+,0,ID=cds-pgaptmp_000275;Parent=gene-pgaptmp_000275;Name=extdb:pgaptmp_000275;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874805.1;locus_tag=pgaptmp_000275;product=hypothetical protein;protein_id=extdb:pgaptmp_000275;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,11084,11941,.,+,.,ID=gene-pgaptmp_000276;Name=pgaptmp_000276;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000276,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,11084,11941,.,+,0,ID=cds-pgaptmp_000276;Parent=gene-pgaptmp_000276;Name=extdb:pgaptmp_000276;Ontology_term=GO:0022857;gbkey=CDS;go_function=transmembrane transporter activity|0022857||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874804.1;locus_tag=pgaptmp_000276;product=ECF transporter S component;protein_id=extdb:pgaptmp_000276;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,12005,15061,.,+,.,ID=gene-pgaptmp_000277;Name=hmw1;gbkey=Gene;gene=hmw1;gene_biotype=protein_coding;locus_tag=pgaptmp_000277,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,12005,15061,.,+,0,ID=cds-pgaptmp_000277;Parent=gene-pgaptmp_000277;Name=extdb:pgaptmp_000277;gbkey=CDS;gene=hmw1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874803.1;locus_tag=pgaptmp_000277;product=terminal organelle protein HMW1;protein_id=extdb:pgaptmp_000277;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,15084,15701,.,+,.,ID=gene-pgaptmp_000278;Name=rpsD;gbkey=Gene;gene=rpsD;gene_biotype=protein_coding;locus_tag=pgaptmp_000278,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,15084,15701,.,+,0,ID=cds-pgaptmp_000278;Parent=gene-pgaptmp_000278;Name=extdb:pgaptmp_000278;Ontology_term=GO:0006412,GO:0003735,GO:0000314,GO:0022627;gbkey=CDS;gene=rpsD;go_component=organellar small ribosomal subunit|0000314||IEA,cytosolic small ribosomal subunit|0022627||IEA;go_function=structural constituent of ribosome|0003735||IEA;go_process=translation|0006412||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014894279.1;locus_tag=pgaptmp_000278;product=30S ribosomal protein S4;protein_id=extdb:pgaptmp_000278;transl_table=4,,,,
Contig_2_118.074,.,gene,15762,16571,.,-,.,ID=gene-pgaptmp_000279;Name=pgaptmp_000279;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000279,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,15762,16571,.,-,0,ID=cds-pgaptmp_000279;Parent=gene-pgaptmp_000279;Name=extdb:pgaptmp_000279;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015344913.1;locus_tag=pgaptmp_000279;product=alpha/beta hydrolase;protein_id=extdb:pgaptmp_000279;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,16626,20603,.,+,.,ID=gene-pgaptmp_000280;Name=pgaptmp_000280;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000280,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,16626,20603,.,+,0,ID=cds-pgaptmp_000280;Parent=gene-pgaptmp_000280;Name=extdb:pgaptmp_000280;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874800.1;locus_tag=pgaptmp_000280;product=DUF3713 domain-containing protein;protein_id=extdb:pgaptmp_000280;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,20610,21839,.,+,.,ID=gene-pgaptmp_000281;Name=pgaptmp_000281;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000281,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,20610,21839,.,+,0,ID=cds-pgaptmp_000281;Parent=gene-pgaptmp_000281;Name=extdb:pgaptmp_000281;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874799.1;locus_tag=pgaptmp_000281;product=DEAD/DEAH box helicase;protein_id=extdb:pgaptmp_000281;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,21824,22276,.,+,.,ID=gene-pgaptmp_000282;Name=pgaptmp_000282;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000282,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,21824,22276,.,+,0,ID=cds-pgaptmp_000282;Parent=gene-pgaptmp_000282;Name=extdb:pgaptmp_000282;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874798.1;locus_tag=pgaptmp_000282;product=hypothetical protein;protein_id=extdb:pgaptmp_000282;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,22257,23360,.,+,.,ID=gene-pgaptmp_000283;Name=pgaptmp_000283;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000283,,,,,,,,
Contig_2_118.074,GeneMarkS-2+,CDS,22257,23360,.,+,0,ID=cds-pgaptmp_000283;Parent=gene-pgaptmp_000283;Name=extdb:pgaptmp_000283;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=pgaptmp_000283;product=hypothetical protein;protein_id=extdb:pgaptmp_000283;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,23367,25547,.,+,.,ID=gene-pgaptmp_000284;Name=pgaptmp_000284;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000284,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,23367,25547,.,+,0,ID=cds-pgaptmp_000284;Parent=gene-pgaptmp_000284;Name=extdb:pgaptmp_000284;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874796.1;locus_tag=pgaptmp_000284;product=DUF3713 domain-containing protein;protein_id=extdb:pgaptmp_000284;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,25703,26416,.,+,.,ID=gene-pgaptmp_000285;Name=pgaptmp_000285;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000285,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,25703,26416,.,+,0,ID=cds-pgaptmp_000285;Parent=gene-pgaptmp_000285;Name=extdb:pgaptmp_000285;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874795.1;locus_tag=pgaptmp_000285;product=hypothetical protein;protein_id=extdb:pgaptmp_000285;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,26472,27509,.,+,.,ID=gene-pgaptmp_000286;Name=pgaptmp_000286;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000286,,,,,,,,
Contig_2_118.074,GeneMarkS-2+,CDS,26472,27509,.,+,0,ID=cds-pgaptmp_000286;Parent=gene-pgaptmp_000286;Name=extdb:pgaptmp_000286;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=pgaptmp_000286;product=hypothetical protein;protein_id=extdb:pgaptmp_000286;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,27487,29445,.,+,.,ID=gene-pgaptmp_000287;Name=pgaptmp_000287;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000287,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,27487,29445,.,+,0,ID=cds-pgaptmp_000287;Parent=gene-pgaptmp_000287;Name=extdb:pgaptmp_000287;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874793.1;locus_tag=pgaptmp_000287;product=DUF3713 domain-containing protein;protein_id=extdb:pgaptmp_000287;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,29754,33488,.,+,.,ID=gene-pgaptmp_000288;Name=pgaptmp_000288;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000288,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,29754,33488,.,+,0,ID=cds-pgaptmp_000288;Parent=gene-pgaptmp_000288;Name=extdb:pgaptmp_000288;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014325532.1;locus_tag=pgaptmp_000288;product=DUF3713 domain-containing protein;protein_id=extdb:pgaptmp_000288;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,33498,34685,.,+,.,ID=gene-pgaptmp_000289;Name=pgaptmp_000289;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000289,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,33498,34685,.,+,0,ID=cds-pgaptmp_000289;Parent=gene-pgaptmp_000289;Name=extdb:pgaptmp_000289;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_019830456.1;locus_tag=pgaptmp_000289;product=YbhN family protein;protein_id=extdb:pgaptmp_000289;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,34741,36528,.,+,.,ID=gene-pgaptmp_000290;Name=dnaK;gbkey=Gene;gene=dnaK;gene_biotype=protein_coding;locus_tag=pgaptmp_000290,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,34741,36528,.,+,0,ID=cds-pgaptmp_000290;Parent=gene-pgaptmp_000290;Name=extdb:pgaptmp_000290;Ontology_term=GO:0006457,GO:0006950,GO:0005524,GO:0016887,GO:0051082;gbkey=CDS;gene=dnaK;go_function=ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA,unfolded protein binding|0051082||IEA;go_process=protein folding|0006457||IEA,response to stress|0006950||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874790.1;locus_tag=pgaptmp_000290;product=molecular chaperone DnaK;protein_id=extdb:pgaptmp_000290;transl_table=4,
Contig_2_118.074,.,gene,36686,37498,.,+,.,ID=gene-pgaptmp_000291;Name=pgaptmp_000291;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000291,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,36686,37498,.,+,0,ID=cds-pgaptmp_000291;Parent=gene-pgaptmp_000291;Name=extdb:pgaptmp_000291;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014325530.1;locus_tag=pgaptmp_000291;product=energy-coupling factor ABC transporter ATP-binding protein;protein_id=extdb:pgaptmp_000291;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,37480,38541,.,+,.,ID=gene-pgaptmp_000292;Name=pgaptmp_000292;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000292,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,37480,38541,.,+,0,ID=cds-pgaptmp_000292;Parent=gene-pgaptmp_000292;Name=extdb:pgaptmp_000292;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014574979.1;locus_tag=pgaptmp_000292;product=energy-coupling factor ABC transporter ATP-binding protein;protein_id=extdb:pgaptmp_000292;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,38531,39484,.,+,.,ID=gene-pgaptmp_000293;Name=pgaptmp_000293;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000293,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,38531,39484,.,+,0,ID=cds-pgaptmp_000293;Parent=gene-pgaptmp_000293;Name=extdb:pgaptmp_000293;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874787.1;locus_tag=pgaptmp_000293;product=CbiQ family ECF transporter T component;protein_id=extdb:pgaptmp_000293;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,39515,40528,.,+,.,ID=gene-pgaptmp_000294;Name=gap;gbkey=Gene;gene=gap;gene_biotype=protein_coding;locus_tag=pgaptmp_000294,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,39515,40528,.,+,0,ID=cds-pgaptmp_000294;Parent=gene-pgaptmp_000294;Name=extdb:pgaptmp_000294;Ontology_term=GO:0006094,GO:0006096,GO:0019682;gbkey=CDS;gene=gap;go_process=gluconeogenesis|0006094||IEA,glycolytic process|0006096||IEA,glyceraldehyde-3-phosphate metabolic process|0019682||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874786.1;locus_tag=pgaptmp_000294;product=type I glyceraldehyde-3-phosphate dehydrogenase;protein_id=extdb:pgaptmp_000294;transl_table=4,,,,
Contig_2_118.074,.,gene,40531,41760,.,+,.,ID=gene-pgaptmp_000295;Name=pgk;gbkey=Gene;gene=pgk;gene_biotype=protein_coding;locus_tag=pgaptmp_000295,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,40531,41760,.,+,0,ID=cds-pgaptmp_000295;Parent=gene-pgaptmp_000295;Name=extdb:pgaptmp_000295;Ontology_term=GO:0006096;gbkey=CDS;gene=pgk;go_process=glycolytic process|0006096||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874785.1;locus_tag=pgaptmp_000295;product=phosphoglycerate kinase;protein_id=extdb:pgaptmp_000295;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,41798,42760,.,+,.,ID=gene-pgaptmp_000296;Name=pta;gbkey=Gene;gene=pta;gene_biotype=protein_coding;locus_tag=pgaptmp_000296,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,41798,42760,.,+,0,ID=cds-pgaptmp_000296;Parent=gene-pgaptmp_000296;Name=extdb:pgaptmp_000296;Ontology_term=GO:0006086,GO:0008959;gbkey=CDS;gene=pta;go_function=phosphate acetyltransferase activity|0008959||IEA;go_process=acetyl-CoA biosynthetic process from pyruvate|0006086||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009885878.1;locus_tag=pgaptmp_000296;product=phosphate acetyltransferase;protein_id=extdb:pgaptmp_000296;transl_table=4,,,,,,,
Contig_2_118.074,.,gene,42766,43638,.,-,.,ID=gene-pgaptmp_000297;Name=pgaptmp_000297;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000297,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,42766,43638,.,-,0,ID=cds-pgaptmp_000297;Parent=gene-pgaptmp_000297;Name=extdb:pgaptmp_000297;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014325526.1;locus_tag=pgaptmp_000297;product=Cof-type HAD-IIB family hydrolase;protein_id=extdb:pgaptmp_000297;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,43823,46771,.,+,.,ID=gene-pgaptmp_000298;Name=pgaptmp_000298;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000298,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,43823,46771,.,+,0,ID=cds-pgaptmp_000298;Parent=gene-pgaptmp_000298;Name=extdb:pgaptmp_000298;Ontology_term=GO:0016887;gbkey=CDS;go_function=ATP hydrolysis activity|0016887||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010869416.1;locus_tag=pgaptmp_000298;product=AAA family ATPase;protein_id=extdb:pgaptmp_000298;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,46777,47823,.,+,.,ID=gene-pgaptmp_000299;Name=ftsY;gbkey=Gene;gene=ftsY;gene_biotype=protein_coding;locus_tag=pgaptmp_000299,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,46777,47823,.,+,0,ID=cds-pgaptmp_000299;Parent=gene-pgaptmp_000299;Name=extdb:pgaptmp_000299;Ontology_term=GO:0009306,GO:0003924,GO:0005047;gbkey=CDS;gene=ftsY;go_function=GTPase activity|0003924||IEA,signal recognition particle binding|0005047||IEA;go_process=protein secretion|0009306||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874781.1;locus_tag=pgaptmp_000299;product=signal recognition particle-docking protein FtsY;protein_id=extdb:pgaptmp_000299;transl_table=4,,,,,
Contig_2_118.074,.,gene,47804,48112,.,+,.,ID=gene-pgaptmp_000300;Name=pgaptmp_000300;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000300,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,47804,48112,.,+,0,ID=cds-pgaptmp_000300;Parent=gene-pgaptmp_000300;Name=extdb:pgaptmp_000300;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874780.1;locus_tag=pgaptmp_000300;product=hypothetical protein;protein_id=extdb:pgaptmp_000300;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,48112,48501,.,+,.,ID=gene-pgaptmp_000301;Name=pgaptmp_000301;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000301,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,48112,48501,.,+,0,ID=cds-pgaptmp_000301;Parent=gene-pgaptmp_000301;Name=extdb:pgaptmp_000301;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874779.1;locus_tag=pgaptmp_000301;product=MG296/MPN423 family protein;protein_id=extdb:pgaptmp_000301;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,48502,49614,.,+,.,ID=gene-pgaptmp_000302;Name=mnmA;gbkey=Gene;gene=mnmA;gene_biotype=protein_coding;locus_tag=pgaptmp_000302,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,48502,49614,.,+,0,ID=cds-pgaptmp_000302;Parent=gene-pgaptmp_000302;Name=extdb:pgaptmp_000302;Ontology_term=GO:0002143,GO:0006396,GO:0004808,GO:0016783,GO:0005737;gbkey=CDS;gene=mnmA;go_component=cytoplasm|0005737||IEA;go_function=tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase activity|0004808||IEA,sulfurtransferase activity|0016783||IEA;go_process=tRNA wobble position uridine thiolation|0002143||IEA,RNA processing|0006396||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874778.1;locus_tag=pgaptmp_000302;product=tRNA 2-thiouridine(34) synthase MnmA;protein_id=extdb:pgaptmp_000302;transl_table=4,,
Contig_2_118.074,.,gene,49745,51172,.,+,.,ID=gene-pgaptmp_000303;Name=pgaptmp_000303;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000303,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,49745,51172,.,+,0,ID=cds-pgaptmp_000303;Parent=gene-pgaptmp_000303;Name=extdb:pgaptmp_000303;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874777.1;locus_tag=pgaptmp_000303;product=MFS transporter;protein_id=extdb:pgaptmp_000303;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,51165,51890,.,+,.,ID=gene-pgaptmp_000304;Name=glpQ;gbkey=Gene;gene=glpQ;gene_biotype=protein_coding;locus_tag=pgaptmp_000304,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,51165,51890,.,+,0,ID=cds-pgaptmp_000304;Parent=gene-pgaptmp_000304;Name=extdb:pgaptmp_000304;gbkey=CDS;gene=glpQ;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874776.1;locus_tag=pgaptmp_000304;product=glycerophosphoryl diester phosphodiesterase;protein_id=extdb:pgaptmp_000304;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,51942,54644,.,+,.,ID=gene-pgaptmp_000305;Name=alaS;gbkey=Gene;gene=alaS;gene_biotype=protein_coding;locus_tag=pgaptmp_000305,,,,,,,,
